Stock,ID
,
20 Microns Limited,20MICRONS
360 ONE WAM LIMITED,360ONE
3B BlackBio Dx Limited,3BBLACKBIO
3i Infotech limited,3IINFOLTD
3M India Ltd.,3MINDIA
3P LAND HOLDINGS LTD.,3PLAND
5paisa Capital Limited,5PAISA
63 Moons Technologies Limited,63MOONS
7SEAS ENTERTAINMENT LIMITED,7SEASL
A-1 Acid Limited,AAL
A.F. Enterprises Limited,AFEL
A.K. Spintex Ltd.,AKSPINTEX
A.K.Capital Services Ltd.,AKCAPIT
A2Z Infra Engineering Limited,A2ZINFRA
AA Plus Tradelink Limited,AAPLUSTRAD
AAA TECHNOLOGIES LIMITED,AAATECH
Aadi Industries Ltd,AADIIND
Aananda Lakshmi Spinning Mills Limited,AANANDALAK
Aanchal Ispat Limited,AANCHALISP
Aar Shyam India Investment Company Limited,AARSHYAM
Aarey Drugs & Pharmaceuticals Ltd,AAREYDRUGS
AARNAV FASHIONS LIMITED,AARNAV
Aartech Solonics Limited,AARTECH
Aarti Drugs Limited,AARTIDRUGS
Aarti Industries Ltd,AARTIIND
Aarti Pharmalabs Limited,AARTIPHARM
Aarti Surfactants Limited,AARTISURF
"Aarvee Denims & Exports Ltd.,",AARVEEDEN
Aashka Hospitals Limited,AASHKA
Aastamangalam Finance Limited,AASTAFIN
AAVAS Financiers Limited,AAVAS
Aayush Food And Herbs Limited,AAYUSH
"Aban  Offshore Ltd.,",ABAN
ABans Enterprises Limited,ABANSENT
Abans Holdings Limited,AHL
ABB India Limited,ABB
Abbott India Ltd.,ABBOTINDIA
ABC Gas (International) Ltd.,ABCGAS
ABC India Ltd.,ABCINDQ
Abhijit Trading Co. Ltd.,ABHIJIT
Abhinav Capital Services Limited,ABHICAP
Abhinav Leasing & Finance Limited,ALFL
Abhishek Finlease limited,ABHIFIN
Abhishek Infraventures Limited,ABHIINFRA
Abirami Financial Services (India),ABIRAFN
ABM Knowledgeware Ltd.,ABMKNO
ACC Ltd,ACC
ACCEL LIMITED,ACCEL
ACCELERATEBS INDIA LIMITED,ACCELERATE
ACCELYA SOLUTIONS INDIA LIMITED,ACCELYA
ACE ENGITECH LIMITED,ACEENGITEC
ACE MEN ENGG WORKS LIMITED,ACEMEN
Ace Software Exports ltd.,ACESOFT
Achyut Healthcare Limited,ACHYUT
ACI Infocom Ltd.,ACIIN
Acknit Industries Ltd,ACKNIT
Acme Resources Limited,ACME
"Acrow (India) Ltd.,",ACROW
Action Construction Equipments Ltd.,ACE
Active Clothing Co  Limited,ACTIVE
AD-Manum Finance Ltd,ADMANUM
Adani Energy Solutions Limited,ADANIENSOL
Adani Enterprises Ltd.,ADANIENT
Adani Green Energy Limited,ADANIGREEN
Adani Ports and Special Economic Zone Ltd,ADANIPORTS
Adani Power Limited,ADANIPOWER
ADANI TOTAL GAS LIMITED,ATGL
Adani Wilmar Limited,AWL
Adarsh Mercantile Limited,ADARSH
Adarsh Plant Project Ltd.,ADARSHPL
ADC India Communications Limited,ADCINDIA
Adcon Capital Services Limited,ADCON
Add-Shop E-Retail Limited,ASRL
"Addi Industries Ltd.,",ADDIND
Adeshwar Meditex Limited,ADESHWAR
ADF Foods Limited.,ADFFOODS
Adhbhut Infrastructure Ltd.,ADHBHUTIN
Adhiraj Distributors Limited,ADHIRAJ
Adinath Exim Resources Ltd.,ADIEXRE
"Adinath Textiles Ltd.,",ADINATH
Adishakti Loha and Ispat Limited,ADISHAKTI
Aditya Birla  Money Ltd,BIRLAMONEY
Aditya Birla Capital Ltd,ABCAPITAL
Aditya Birla Fashion and Retail Limited,ABFRL
Aditya Birla Sun Life AMC Limited,ABSLAMC
Aditya Birla Sun Life Mutual Fund,BSLSENETFG
Aditya Birla Sun Life Mutual Fund,ABSLNN50ET
Aditya Birla Sun Life Mutual Fund,ABSLBANETF
Aditya Birla Sun Life Mutual Fund,TECH
Aditya Birla Sun Life Mutual Fund,HEALTHY
Aditya Birla Sun Life Mutual Fund,BSLNIFTY
Aditya Birla Sun Life Mutual Fund,NIFTYQLITY
Aditya Birla Sun Life Mutual Fund,MOMENTUM
ADITYA CONSUMER MARKETING LIMITED,ACML
Aditya Ispat Ltd.,ADITYA
Aditya Spinners Ltd.,ADITYASP
Aditya Vision Limited,AVL
ADLINE CHEM LAB LIMITED,ADLINE
Ador Fontech Ltd,ADORFO
Ador Multiproducts Ltd,ADORMUL
Ador Welding Ltd.,ADORWELD
Adroit Infotech Limited,ADROITINFO
Advait Infratech Limited,ADVAIT
Advance Lifestyles Ltd.,ADVLIFE
ADVANCE METERING TECHNOLOGY LIMITED,AMTL
"Advance Petrochemicals Ltd.,",ADVPETR-B
Advance Syntex Limited,ASYL
Advanced Enzyme Technologies Limited,ADVENZYMES
Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR
Advik Capital Limited,ADVIKCA
Aegis Logistics Ltd.,AEGISLOG
Aeroflex Industries Limited,AEROFLEX
Aerpace Industries Limited,AERPACE
Aether Industries Limited,AETHER
Affle (India) Limited,AFFLE
Affordable Robotic & Automation Limited,AFFORDABLE
AGARWAL FORTUNE INDIA LIMITED,AGARWAL
Agarwal Industrial Corporation Limited,AGARIND
AGI GREENPAC LIMITED,AGI
AGI Infra Limited,AGIIL
Agio Paper & Industries Limited,AGIOPAPER
Agri-Tech India Ltd.,AGRITECH
Agro Tech Foods Ltd,ATFL
AGS TRANSACT TECHNOLOGIES LIMITED,AGSTRA
AHASOLAR TECHNOLOGIES LIMITED,AHASOLAR
Ahluwalia Contracts (India) Ltd,AHLUCONT
Ahmedabad Steelcraft Ltd.,AHMDSTE
AI CHAMPDANY INDUSTRIES LIMITED,AICHAMP
AIA Engineering Ltd.,AIAENG
AIK Pipes and Polymers Limited,AIKPIPES
"Aimco Pesticides Ltd.,",AIMCOPEST
AIRAN LIMITED,AIRAN
Ajanta Pharma Ltd.,AJANTPHARM
Ajanta Soya Limited,AJANTSOY
Ajcon Global Services Ltd.,AJCON
AJEL Limited,AJEL
Ajmera Realty & Infra India Limited,AJMERA
Ajwa Fun World & Resorts Ltd,AJWAFUN
Akar Auto Industries Limited,AAIL
AKI India Limited,AKI
AKM CREATIONS LIMITED,AKM
Aksh Optifibre Ltd.,AKSHOPTFBR
Akshar Spintex Limited,AKSHAR
AksharChem (India) Ltd.,AKSHARCHEM
Akzo Nobel India Limited,AKZOINDIA
Alacrity Securities Limited,ALSL
Alan Scott Industries Ltd.,ALAN SCOTT
Alankit Limited,ALANKIT
"Albert David Ltd.,",ALBERTDAVD
Alchemist Corporation Ltd,ALCHCORP
Alembic  Ltd,ALEMBICLTD
ALEMBIC PHARMACEUTICALS LIMITED,APLLTD
Alexander Stamps And Coin Limited,ALEXANDER
Alfa Ica (India) Ltd,ALFAICA
Alfa Transformers ltd.,ALFATRAN
Alfavision Overseas (India) Ltd.,ALFAVIO
"Alfred Herbert (India) Ltd.,",ALFREDHE
ALGOQUANT FINTECH LIMITED,AQFINTECH
Alicon Castalloy Limited,ALICON
Alkali Metals Limited,ALKALI
Alkem Laboratories Limited,ALKEM
ALKOSIGN LIMITED,ALKOSIGN
"Alkyl Amines Chemicals Ltd.,",ALKYLAMINE
ALLCARGO GATI LIMITED,ACLGATI
Allcargo Logistics Ltd,ALLCARGO
Allcargo Terminals Limited,ATL
Alliance Integrated Metaliks Limited,AIML
Allied Digital Services Limited,ADSL
Allsec Technologies Ltd.,ALLSEC
Almondz Global Securities Limited,ALMONDZ
"Alna Trading & Exports Ltd.,",ALNATRD
Alok Industries Ltd.,ALOKINDS
Alpa Laboratories Limited,ALPA
